price;product;quantitytoorder2p;region;skucode;skuname;url;title;ahprice;portiegrote;ahsku
1.39;ontbijt-box;1;NL;PRO-11-45500-4;Vruchtenspread mango & ananas (170g);;product not found;product not found;product not found;product not found
1.39;ontbijt-box;1;NL;PRO-11-45500-4;Vruchtenspread mango & ananas (170g);;product not found;product not found;product not found;product not found
0.47;ontbijt-box;1;NL;PTN-10-18001-4;Vrije-uitloopei (4st);https://www.ah.nl/producten/product/wi168502/ah-biologisch-eieren;AH Biologisch Eieren;3,69;560 Gram;751795
0.47;ontbijt-box;1;NL;PTN-10-18001-4;Vrije-uitloopei (4st);https://www.ah.nl/producten/product/wi46882/ah-vrije-uitloop-eierkoeken;AH Vrije uitloop eierkoeken;0,82;300 Gram;102255
0.47;ontbijt-box;1;NL;PTN-10-18001-4;Vrije-uitloopei (4st);https://www.ah.nl/producten/product/wi161001/blije-kip-buitenei-vrije-uitloop;Blije Kip Buitenei vrije uitloop;2,95;10 Stuk;622771
0.42;ontbijt-box;1;NL;PTN-11-10638-4;Spekblokjes (40g);https://www.ah.nl/producten/product/wi130250/ah-spekreepjes;AH spekreepjes;2,99;250 Gram;590596
0.42;ontbijt-box;1;NL;PTN-11-10638-4;Spekblokjes (40g);https://www.ah.nl/producten/product/wi221032/gerookte-spekreepjes;Gerookte spekreepjes;2,39;300 Gram;815840
0.42;ontbijt-box;1;NL;PTN-11-10638-4;Spekblokjes (40g);https://www.ah.nl/producten/product/wi130257/ah-biologisch-spekreepjes;AH Biologisch Spekreepjes;3,59;200 Gram;591015
0.65;ontbijt-box;1;NL;PTN-11-10681-4;Ontbijtspek (50g);https://www.ah.nl/producten/product/wi221031/meesterandzn-gerookt-ontbijtspek;Meester&Zn Gerookt ontbijtspek;2,12;200 Gram;815839
0.65;ontbijt-box;1;NL;PTN-11-10681-4;Ontbijtspek (50g);https://www.ah.nl/producten/product/wi1565/ah-gerookt-ontbijtspek;AH Gerookt ontbijtspek;2,79;150 Gram;779494
